time 	  Co 	 D 	 L 	 total 

450000	 6.204738303	 7.21527826	 0.2481969167	 6.204738303
450007.26	 0.1996155177	 0.2325329497	 0.007998854523	 0.1996155177
450014.52	 0.1995432786	 0.2328711795	 0.008010489221	 0.1995432786
450021.81	 0.1996102281	 0.2333807444	 0.008028017644	 0.1996102281
450029.1	 0.1995321504	 0.2337219443	 0.008039754512	 0.1995321504
450036.41	 0.1996035449	 0.2342359955	 0.008057437256	 0.1996035449
450043.73	 0.1995288481	 0.2345802071	 0.008069277722	 0.1995288481
450051.07	 0.1996006434	 0.2350988074	 0.008087116951	 0.1996006434
450058.42	 0.1995247797	 0.235446073	 0.008099062471	 0.1995247797
450065.78	 0.1995946788	 0.2359692865	 0.008117060387	 0.1995946788
450073.16	 0.1995145321	 0.2363196492	 0.008129112444	 0.1995145321
450080.55	 0.1995833792	 0.2368475412	 0.008147271296	 0.1995833792
450087.95	 0.1995094661	 0.237201045	 0.008159431402	 0.1995094661
450095.37	 0.1995813119	 0.2377336821	 0.008177753479	 0.1995813119
450102.8	 0.1995011368	 0.2380903718	 0.008190023176	 0.1995011368
450110.25	 0.1995780107	 0.2386278218	 0.008208510813	 0.1995780107
450117.71	 0.1995042703	 0.2389877431	 0.008220891674	 0.1995042703
450125.18	 0.1995797757	 0.2395300754	 0.008239547253	 0.1995797757
450132.67	 0.1995066133	 0.2398932749	 0.00825204088	 0.1995066133
450140.17	 0.1995998217	 0.2404405599	 0.008270866829	 0.1995998217
450147.69	 0.1995476472	 0.2408070852	 0.008283474858	 0.1995476472
450155.21	 0.1994955374	 0.2411750104	 0.008296131046	 0.1994955374
450162.76	 0.1995961011	 0.2417294357	 0.008315202611	 0.1995961011
450170.31	 0.1995441641	 0.2421007559	 0.00832797558	 0.1995441641
450177.88	 0.1994923277	 0.2424735054	 0.008340797713	 0.1994923277
450185.46	 0.1995945781	 0.24303522	 0.008360120024	 0.1995945781
450193.06	 0.1995481522	 0.2434114356	 0.008373061387	 0.1995481522
450200.67	 0.1995016443	 0.2437891104	 0.008386052948	 0.1995016443
450208.29	 0.1996100462	 0.2443582679	 0.008405631282	 0.1996100462
450215.93	 0.1995634931	 0.244739482	 0.008418744591	 0.1995634931
450223.58	 0.1998584015	 0.2451221864	 0.008431909165	 0.1998584015
450231.23	 0.2000913906	 0.2451221864	 0.008431909165	 0.2000913906
450238.88	 0.2001662616	 0.244930385	 0.008425311427	 0.2001662616
450246.51	 0.2000827892	 0.2445473821	 0.008412136585	 0.2000827892
450254.13	 0.2001543851	 0.2443561801	 0.008405559464	 0.2001543851
450261.75	 0.2002244624	 0.2441651275	 0.008398987487	 0.2002244624
450269.36	 0.2001364315	 0.2437836195	 0.008385864069	 0.2001364315
450276.96	 0.2002035585	 0.2435931636	 0.008379312613	 0.2002035585
450284.55	 0.2001128567	 0.2432128464	 0.008366230157	 0.2001128567
450292.14	 0.2001773211	 0.2430229847	 0.008359699142	 0.2001773211
450299.71	 0.2000842493	 0.2426438536	 0.00834665749	 0.2000842493
450307.28	 0.2001463428	 0.2424545839	 0.008340146837	 0.2001463428
450314.84	 0.2002073958	 0.2422654617	 0.008333641262	 0.2002073958
450322.39	 0.2001111842	 0.2418878071	 0.008320650395	 0.2001111842
450329.93	 0.2001701871	 0.2416992741	 0.008314165087	 0.2001701871
450337.46	 0.2000721585	 0.2413227955	 0.008301214674	 0.2000721585
450344.99	 0.2001292481	 0.2411348494	 0.008294749553	 0.2001292481
450352.51	 0.2001854584	 0.2409470497	 0.008288289468	 0.2001854584
450360.01	 0.2000847987	 0.2405720348	 0.008275389407	 0.2000847987
450367.51	 0.2001391881	 0.2403848192	 0.008268949415	 0.2001391881
450375.01	 0.2001927155	 0.2401977493	 0.008262514435	 0.2001927155
450382.5	 0.2000895129	 0.2398241914	 0.00824966449	 0.2000895129
450389.97	 0.2001412365	 0.2396377029	 0.00824324951	 0.2001412365
450397.45	 0.2001920857	 0.2394513594	 0.008236839518	 0.2001920857
450404.91	 0.2000863275	 0.2390792516	 0.008224039457	 0.2000863275
450412.36	 0.2001353811	 0.2388934869	 0.008217649372	 0.2001353811
450419.81	 0.2001835692	 0.2387078664	 0.008211264252	 0.2001835692
450427.25	 0.2000774943	 0.2383372021	 0.008198513841	 0.2000774943
450434.68	 0.2001265417	 0.2381521576	 0.008192148535	 0.2001265417
450442.11	 0.20017472	 0.2379672569	 0.008185788172	 0.20017472
450449.52	 0.2000665367	 0.2375980292	 0.008173087182	 0.2000665367
450456.93	 0.2001129031	 0.2374137018	 0.00816674654	 0.2001129031
450464.34	 0.2001584003	 0.2372295174	 0.008160410817	 0.2001584003
450471.73	 0.2000476579	 0.2368617197	 0.008147759017	 0.2000476579
450479.12	 0.2000913178	 0.2366781059	 0.008141442925	 0.2000913178
450486.5	 0.2001340788	 0.2364946345	 0.008135131729	 0.2001340788
450493.87	 0.2001759435	 0.2363113054	 0.008128825425	 0.2001759435
450501.23	 0.2000616698	 0.235945215	 0.008116232357	 0.2000616698
450508.59	 0.2001054797	 0.2357624534	 0.008109945578	 0.2001054797
450515.94	 0.2001535288	 0.2355798334	 0.008103663668	 0.2001535288
450523.29	 0.2002006536	 0.2353973548	 0.008097386624	 0.2002006536
450530.63	 0.2000917136	 0.2350329627	 0.00808485197	 0.2000917136
450537.95	 0.2001369196	 0.2348510486	 0.008078594345	 0.2001369196
450545.28	 0.2001812075	 0.2346692753	 0.008072341563	 0.2001812075
450552.59	 0.200069562	 0.2343062912	 0.008059855342	 0.200069562
450559.9	 0.2001119328	 0.2341250798	 0.008053621889	 0.2001119328
