time 	 inner iter. 	  errorU 	  errorpsi 	  errorj 	  error 

450007.26	 3	 2.013209548e-05 	 1.095380312e-06 	 1.660837919 	 2.013209548e-05
450014.52	 3	 1.874452792e-05 	 5.636463571e-08 	 0.2870424918 	 1.874452792e-05
450021.81	 3	 1.728138955e-05 	 4.619459609e-08 	 0.1617314991 	 1.728138955e-05
450029.1	 3	 1.590071228e-05 	 4.020936923e-08 	 0.1145194931 	 1.590071228e-05
450036.41	 3	 1.435568746e-05 	 3.594205994e-08 	 0.0888480723 	 1.435568746e-05
450043.73	 3	 1.275440957e-05 	 3.262266829e-08 	 0.07278731771 	 1.275440957e-05
450051.07	 3	 1.122578986e-05 	 2.991298193e-08 	 0.06145581067 	 1.122578986e-05
450058.42	 3	 9.864326394e-06 	 2.762576165e-08 	 0.05307833239 	 9.864326394e-06
450065.78	 3	 9.071479443e-06 	 2.565034167e-08 	 0.04656380524 	 9.071479443e-06
450073.16	 3	 8.342155643e-06 	 2.391600414e-08 	 0.04138291645 	 8.342155643e-06
450080.55	 3	 7.77079565e-06 	 2.237177436e-08 	 0.03751112308 	 7.77079565e-06
450087.95	 3	 7.287133671e-06 	 2.098336577e-08 	 0.03444295088 	 7.287133671e-06
450095.37	 3	 6.814790119e-06 	 1.972430971e-08 	 0.03180513074 	 6.814790119e-06
450102.8	 3	 6.356496179e-06 	 1.85754016e-08 	 0.02946450311 	 6.356496179e-06
450110.25	 3	 5.929469155e-06 	 1.752104227e-08 	 0.02738827536 	 5.929469155e-06
450117.71	 3	 5.527826548e-06 	 1.654740982e-08 	 0.02553093019 	 5.527826548e-06
450125.18	 3	 5.16031195e-06 	 1.564618381e-08 	 0.02392406928 	 5.16031195e-06
450132.67	 3	 4.817924515e-06 	 1.480866376e-08 	 0.02247556547 	 4.817924515e-06
450140.17	 3	 4.505909905e-06 	 1.402802957e-08 	 0.02115755763 	 4.505909905e-06
450147.69	 3	 4.215000539e-06 	 1.329800237e-08 	 0.01994685506 	 4.215000539e-06
450155.21	 3	 3.946356552e-06 	 1.261519364e-08 	 0.01883390941 	 3.946356552e-06
450162.76	 3	 3.700295304e-06 	 1.197410873e-08 	 0.01781105127 	 3.700295304e-06
450170.31	 3	 3.469159034e-06 	 1.13715599e-08 	 0.01686064496 	 3.469159034e-06
450177.88	 3	 3.254381759e-06 	 1.080356651e-08 	 0.0159784108 	 3.254381759e-06
450185.46	 3	 3.057204257e-06 	 1.026892086e-08 	 0.01516082141 	 3.057204257e-06
450193.06	 3	 3.036150815e-06 	 9.764135071e-09 	 0.01439312455 	 3.036150815e-06
450200.67	 3	 3.041299311e-06 	 9.287395624e-09 	 0.01367261566 	 3.041299311e-06
450208.29	 3	 3.0574761e-06 	 8.835960649e-09 	 0.01299549324 	 3.0574761e-06
450215.93	 3	 3.069156146e-06 	 8.408652545e-09 	 0.012351736 	 3.069156146e-06
450223.58	 3	 3.078526558e-06 	 8.004301856e-09 	 0.01173956974 	 3.078526558e-06
450231.23	 3	 3.086032505e-06 	 7.620956237e-09 	 0.01115317788 	 3.086032505e-06
450238.88	 3	 3.110101967e-06 	 7.257275692e-09 	 0.01059414976 	 3.110101967e-06
450246.51	 3	 3.128732995e-06 	 6.91219937e-09 	 0.01009227405 	 3.128732995e-06
450254.13	 3	 3.144201935e-06 	 6.584864468e-09 	 0.009718479783 	 3.144201935e-06
450261.75	 3	 3.158275859e-06 	 6.273409334e-09 	 0.009355810974 	 3.158275859e-06
450269.36	 3	 3.15100214e-06 	 5.977693003e-09 	 0.009001730433 	 3.15100214e-06
450276.96	 3	 3.142243426e-06 	 5.696550981e-09 	 0.008660956845 	 3.142243426e-06
450284.55	 3	 3.141695388e-06 	 5.429279544e-09 	 0.008329026181 	 3.141695388e-06
450292.14	 3	 3.132000793e-06 	 5.175018787e-09 	 0.008009978411 	 3.132000793e-06
450299.71	 3	 3.116959263e-06 	 4.933106198e-09 	 0.007700501653 	 3.116959263e-06
450307.28	 3	 3.129662782e-06 	 4.702877171e-09 	 0.007402109033 	 3.129662782e-06
450314.84	 3	 3.131197841e-06 	 4.483708058e-09 	 0.007114128889 	 3.131197841e-06
450322.39	 3	 3.121414935e-06 	 4.275031434e-09 	 0.006834735612 	 3.121414935e-06
450329.93	 3	 3.112493278e-06 	 4.076274892e-09 	 0.006566859893 	 3.112493278e-06
