# Time	Cd	Cl	Cm
9.140767824	238.1987332	-0.01932326975	-1179.083729
18.28153565	10.21186579	-0.007633640906	-50.54873567
27.42230347	5.873273146	0.008891202582	-29.07270207
36.5630713	4.703422024	0.0001655399685	-23.28193902
45.70383912	4.180801607	0.0001361179715	-20.69496795
54.82777312	3.871845329	0.000220116076	-19.16563438
63.95170712	3.686335058	2.312186329e-05	-18.24735854
73.07564112	3.568657625	2.179604144e-05	-17.66485525
82.19957511	3.485244606	1.923395336e-05	-17.2519608
91.32350911	3.420928902	1.435150309e-05	-16.93359806
100.4474431	3.367917767	8.418612047e-06	-16.67119295
109.5713771	3.321875396	1.508338523e-05	-16.44328321
118.6953111	3.279119182	2.148529491e-06	-16.23163995
127.8192451	3.240267132	1.59964382e-05	-16.0393223
136.9431791	3.206474019	1.561018499e-06	-15.87204639
146.0671131	3.179495023	9.007490239e-06	-15.73850037
155.1910471	3.128856121	-3.67970894e-06	-15.4878378
164.3149811	3.074410877	-3.0646117e-06	-15.21833384
173.4217325	3.001661985	-6.578349427e-07	-14.85822683
182.528484	2.994048765	-2.679032582e-06	-14.82054138
191.6352354	2.946122341	4.555994546e-07	-14.58330559
200.7419869	2.931375464	1.129869401e-06	-14.51030855
209.8487383	2.911962079	1.720203823e-06	-14.41421229
218.9554898	2.885413531	2.396364358e-07	-14.28279698
228.0622412	2.917098293	7.073384964e-06	-14.43963655
237.1689927	2.871802793	-5.030347752e-06	-14.21542383
246.2757441	2.840380344	-5.183543713e-06	-14.0598827
255.3824956	2.814987767	1.64574705e-06	-13.93418945
264.489247	2.804097708	-4.295755006e-06	-13.88028365
273.5959985	2.779601614	7.199759909e-08	-13.75902799
282.7027499	2.756792543	-6.341544885e-06	-13.64612309
291.8095014	2.735742529	6.715032474e-07	-13.54192552
300.8986722	2.714729732	-4.947286889e-06	-13.43791217
309.9878431	2.689751901	1.572279232e-06	-13.31427191
319.0770139	2.680354933	-7.619174174e-06	-13.26775692
328.1661848	2.662976557	9.101874088e-08	-13.18173396
337.2553556	2.646117352	-3.768811082e-06	-13.09828089
346.3445264	2.629764564	-6.067974294e-06	-13.01733459
355.4336973	2.613976319	-6.882945524e-06	-12.93918278
364.5228681	2.598908012	-6.512394147e-06	-12.86459466
373.612039	2.584958699	-5.231056486e-06	-12.79554556
382.7012098	2.573759733	-4.206349482e-06	-12.74011068
391.7903807	2.557698284	-4.634687154e-06	-12.66060651
400.8795515	2.533366329	-7.340333327e-07	-12.54016333
409.9687224	2.52399477	7.240962199e-07	-12.49377411
419.0578932	2.501491423	-7.289541237e-06	-12.38238254
428.1470641	2.47579555	-5.193965223e-06	-12.25518797
437.2182008	2.460155752	-6.198690747e-06	-12.17777097
446.2893376	2.44485486	-3.602068488e-06	-12.10203156
455.3604744	2.429520552	-3.15292579e-06	-12.02612673
464.4316112	2.414009623	-3.450254623e-06	-11.94934764
473.502748	2.398097982	-3.890351123e-06	-11.87058501
482.5738847	2.381355318	-3.833595043e-06	-11.78770883
491.6450215	2.365635269	-6.761453473e-06	-11.70989458
500.7161583	2.362191553	-4.218834347e-06	-11.69284819
509.7872951	2.351303968	-5.186758161e-06	-11.63895464
518.8584318	2.343343188	-5.872136411e-07	-11.59954878
527.9295686	2.324027605	-5.395997915e-06	-11.50393665
537.0007054	2.310248895	-7.373172117e-06	-11.43573203
546.0718422	2.294102809	-8.42655886e-06	-11.35580891
555.142979	2.272348815	-7.082093875e-06	-11.24812663
564.2141157	2.253851301	-4.90856204e-06	-11.15656394
573.2852525	2.238735762	-3.503631926e-06	-11.08174202
582.3563893	2.224208321	-3.561597979e-06	-11.00983119
591.4089377	2.209833347	-4.492025571e-06	-10.93867507
600.4614861	2.195745571	-5.208694424e-06	-10.86894057
609.5140344	2.181929232	-5.678624163e-06	-10.8005497
618.5665828	2.168373126	-5.845024181e-06	-10.73344697
627.6191312	2.155062611	-5.468226669e-06	-10.66755993
636.6716796	2.141976805	-5.404060465e-06	-10.60278519
645.724228	2.128751255	-2.985137916e-06	-10.53731871
654.7767764	2.117419741	-1.346794032e-05	-10.48122772
663.8293247	2.107982555	-3.706961717e-06	-10.43451365
672.8818731	2.094476334	-3.610224402e-06	-10.36765785
681.9344215	2.080164554	-4.825442613e-06	-10.29681454
690.9869699	2.067659647	-4.149052681e-06	-10.23491525
700.0395183	2.055499077	-6.413565396e-06	-10.17472043
709.0920666	2.050932	-1.829691495e-06	-10.1521134
718.144615	2.044475221	-1.33527526e-05	-10.12015234
727.1971634	2.03548788	-5.966810615e-06	-10.07566501
736.2497118	2.025401509	-4.595170268e-06	-10.02573747
